# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°)
1.470721669276933,65.88727538889073,78.01654146935155,81.18780326905586,37.6651053810723,39.991228813925574,15.076271960611509,6.193797888592537e-4,15.076271973334526,89.99764611252105,22.469505041630708,13.44017182481197,1.288969993514282e-6,14.196235620721632,-0.015219367311601,71.31839530556071,89.9967264764177
1.474804173192333,66.20609166587413,78.1699836601536,81.35065457563216,37.50149803699331,39.97196080219167,15.168116853997798,6.251674555069997e-4,15.168116866881215,89.99763850338087,22.525156036199625,13.834568853178391,1.307564290155268e-6,16.705041853425808,-0.017589558405362,71.25518099742904,89.99658332100259
1.480927929065433,66.6854869995605,78.39878056758808,81.59454712799084,37.21582885188977,39.95485186925588,15.306319044534732,6.339525958762687e-4,15.306319057663163,89.99762694034872,22.611973079258053,14.538647487336272,1.234458376148122e-6,19.624903296770338,-0.024112089378362,71.14338725066962,89.99642734067653
1.490113562875082,67.40719282613587,78.73843071115775,81.95942189778935,36.72903165281976,39.9596451555287,15.51465436738488,6.473896920251146e-4,15.514654380891898,89.99760918315332,22.750964088672042,15.740123087254831,8.435998458691996e-7,21.7623998511132,-0.115544032283975,70.95116643254254,89.99623285117838
1.500113562875082,68.19640434783841,79.10297651087147,82.35519561122547,36.18273731931214,39.99986876420253,15.74297345079797,6.624138188136303e-4,15.742973464734094,89.99758917740635,22.915002755481556,17.052830299838263,5.48902419515932e-7,-20.81458413595744,-0.032001679063925,70.73549979500586,89.9961482111937
1.510113562875082,68.9892330872309,79.4618295975299,82.74937463943269,35.607431206048474,40.09969864026932,15.973001040828596,6.778661698718235e-4,15.973001055212322,89.99756846753559,23.092783293278185,18.441710168716522,0,-16.303779392163193,-0.015524544603371,70.54693611586059,89.99617370525192
1.516530085437198,69.4998326135254,79.6893457395542,83.00150177707587,35.321949852413084,40.14826511823274,16.12156087767412,6.880000706074963e-4,16.121560892354587,89.99755485832759,23.213303790105474,19.085152622589092,0,-11.739036885402363,-0.014459905764182,70.45639860810641,89.99636282300956
1.521580881109457,69.9027770078767,79.86731838478512,83.19959429561159,35.161368140295544,40.16441663594633,16.23905154344047,6.960837651150168e-4,16.23905155835922,89.99754402763007,23.310597267717718,19.412845082792273,0,-7.512202347509515,-0.0095802429147,70.40760569072096,89.99650585281042
1.526144595285856,70.26763442301583,80.02755908135693,83.37835797263044,35.07144797618029,40.15659372861029,16.345637241233074,7.03458961950474e-4,16.34563725637028,89.99753419037992,23.399580459743984,19.558771861718274,0,-3.411271388796103,-0.010696095170291,70.38261389079676,89.99664112500437
1.530509710916521,70.61729795172549,80.18055604790142,83.54919030514438,35.036780236123946,40.12693187116236,16.4479655656761,7.105681243009447e-4,16.447965581024718,89.99752476654994,23.485008675633264,19.560027916096136,0,0.601780004974468,-0.013099715077379,70.37647899324968,89.99680210726787
1.534867767586981,70.96706208921137,80.33326364090297,83.71964325189651,35.05193043095052,40.07568433508977,16.550499996153434,7.177103187688611e-4,16.550500011715144,89.99751537583985,23.570011010307095,19.42736852972024,0,4.546794938454724,-0.013918813165524,70.38774764161118,89.99697270533103
1.539373759103207,71.32939912047068,80.491336114681,83.89581810741507,35.11705870294784,40.00208576765264,16.656902683291804,7.251314705498315e-4,16.65690269907552,89.99750572038401,23.65698853163527,19.156175344163913,0,8.403631756587226,-0.014217259126908,70.41704118509207,89.99713906313305
1.544259443223212,71.72307391882771,80.66318338298917,84.08680931006178,35.23826380730576,39.90336246198457,16.772710291226325,7.332090026110761e-4,16.772710307252222,89.99749534925517,23.749575711345923,18.722796255347216,0,12.152939305464114,-0.018964639214681,70.46747256633276,89.99731043292199
1.549889882725142,72.17780260878159,80.8621099008253,84.30692373861541,35.43092608907986,39.774092807175364,16.906724358001046,7.425424155430052e-4,16.906724374307256,89.99748357247735,23.853229816013723,18.072850774129666,0,15.6965155284029,-0.027795900474518,70.54631035884857,89.99750251588112
1.557241214152579,72.77320724984304,81.12384184691601,84.59438341628304,35.78259899224376,39.578018990993954,17.082555521510756,7.547418664175275e-4,17.082555538183765,89.99746855653505,23.981909631588145,16.912279462324214,0,18.608535612682317,-0.062616962296194,70.67375492870919,89.99770737563308
1.567241214152579,73.58624323391776,81.48415997396897,84.98551247435299,36.27571331325777,39.35002434881334,17.323192095070404,7.71308795181659e-4,17.323192112241525,89.99744892636453,24.142680130114815,15.2478536150678,4.815024942895181e-7,-18.833410249843443,-0.082355770927272,70.86452418961737,89.99804513638007
1.577241214152579,74.40290611580019,81.84908649823979,85.37654780672307,36.687884767798394,39.18690699292109,17.56535498622865,7.877599651113757e-4,17.56535500389313,89.99743043500824,24.287485559384923,13.769996039817663,0,-14.910518228405358,-0.024968289981999,71.03635393348627,89.99824115551222
1.584192144171568,74.97272140934399,82.10481419065361,85.64814576647528,36.87702641526146,39.10575078271901,17.734501567973695,7.9909999322245e-4,17.734501585977043,89.99741830596062,24.38040934754053,13.013249672861747,0,-10.211600859739306,-0.019193904415064,71.12441621180432,89.99822001135523
1.589427493336856,75.40307456960834,82.29809909122757,85.85253094807047,36.95093999495728,39.05486997096174,17.862317963481118,8.07588894566814e-4,17.862317981737423,89.99740955035607,24.447493862559487,12.645588240085774,0,-5.94812365116004,-0.020769133156045,71.16692665326532,89.998073354847
1.594101286641502,75.78812254788652,82.47084683298631,86.03483126008247,36.962139917641494,39.01318435908202,17.976717874503606,8.151397250660728e-4,17.97671789298453,89.99740196924414,24.50615458616419,12.483139290435512,4.186301446282506e-7,-1.839463912931689,-0.020174272845349,71.18519527925767,89.99784124851779
1.598561851254547,76.15635671099672,82.63564991598533,86.20865023711774,36.923188345215735,38.97519091109101,18.0861532122953,8.223352415978671e-4,18.086153230990135,89.99739489441988,24.561773931628295,12.479730324799345,3.675123520527848e-7,2.168414190088825,-0.015539546591187,71.18445780195785,89.9975885097919
1.603033216850156,76.52621978602289,82.80058682219493,86.38270934385294,36.8472285916583,38.937121487992485,18.196102929126752,8.295521651191684e-4,18.196102948036206,89.99738791113133,24.61778413027334,12.584958279023619,5.91497288147453e-7,6.104591545504104,-0.01928917098284,71.16591085164609,89.99732375655363
1.607665864499891,76.91020073275209,82.97102273968544,86.5628345877702,36.725119359964836,38.899548041568806,18.310284219065668,8.37049311874597e-4,18.3102842381984,89.99738074012355,24.676582368720908,12.82343346513154,3.42767063028134e-7,9.972253598728155,-0.020196243414149,71.1285583384253,89.99701134972139
1.612651383649122,77.32431005795459,83.15368184193149,86.75641365071056,36.542448597087294,38.864589932199344,18.433470705916037,8.451619733408881e-4,18.433470725291084,89.997373027857,24.741473393151658,13.232754857823203,0,13.710200069371476,-0.020673863142089,71.06929977237141,89.9966909897914
1.618427103957789,77.80519055491747,83.36399138158461,86.98029189927144,36.273878195176536,38.8355925248742,18.576594597308688,8.546461824228874e-4,18.576594616968375,89.99736401529685,24.81967203275561,13.871157393655409,3.958470784544304e-7,17.23948466499814,-0.025439305586741,70.97944854124111,89.99637439000549
1.62609273643676,78.4452900030843,83.64046282568727,87.27671570310632,35.848883293994376,38.82337231137051,18.767270418742257,8.674236399617013e-4,18.767270438788426,89.9973517878479,24.92986326127106,14.903415856804825,8.119504327756484e-7,20.2094703352273,-0.05747797870223,70.83458459393347,89.99599440590869
1.63609273643676,79.28347698881015,83.99594560826202,87.66204330186065,35.245984999433965,38.85390319388241,19.0173386550464,8.845011325457794e-4,19.017338675615584,89.99733515910128,25.08615070574162,16.350728877308864,1.245086919897139e-6,-20.725035218582697,-0.103942489953526,70.62671655313726,89.99556656213252
1.64609273643676,80.12518891176636,84.3455218867164,88.04572462670954,34.68533217544956,38.91111220122267,19.269040627618807,9.021590694099155e-4,19.269040648737946,89.99731746338142,25.256337080024313,17.635259697970525,3.872145978937816e-7,-17.498751668394426,-0.027623784104765,70.432801424452,89.99521234877774
1.654285066535811,80.81733486193049,84.6280966591295,88.35886607568678,34.30185227591011,38.95706212637579,19.4765500519816,9.171143863960456e-4,19.476550073574206,89.99730204869486,25.40422150025829,18.467149751922825,1.078489153027091e-6,-12.601330280873057,-0.016759939956515,70.30829231249764,89.99509075977367
1.656,80.96251682328612,84.68686232355705,88.42429296704385,34.23334925474158,38.964701163889366,19.520143829671483,9.203047767660466e-4,19.52014385136602,89.99729870947696,25.43601652209903,18.609829004966315,1.07112492339593e-6,-11.350035125127125,-0.01705066204289,70.28774497304214,89.9950909688897
1.658572400196284,81.18047846482175,84.77478034273561,88.52233379357588,34.124275565432555,38.95047939769699,19.585637216180295,9.251287598975361e-4,19.585637238029552,89.99729363038722,25.484116584692426,18.779607622227903,1.049549532279607e-6,-9.3597479625366,-0.015587513836766,70.26108292261314,89.99511661187142
1.66243100049071,81.50784414129546,84.90618631454922,88.66914583673208,33.993044513864575,38.916346818714395,19.684110519312686,9.32449373419647e-4,19.68411054139806,89.9972858609174,25.55693543707302,18.946107103911444,1.01000814796743e-6,-6.182880693520628,-0.01685178105751,70.2310370104517,89.99520394243966
1.667168352571163,81.91045563204972,85.06694960463177,88.84902090008126,33.88784519107995,38.85070668879816,19.805395677550443,9.415688362293209e-4,19.805395699932017,89.99727609984296,25.646882848917805,18.99977259138713,7.093558354636263e-7,-2.120455058894996,-0.012617324816499,70.21133400053188,89.99535362386058
1.671789035003506,82.30388455309216,85.2234137988326,89.02411981376645,33.845272502886125,38.760460951810764,19.924104359452173,9.505914211907349e-4,19.924104382128828,89.99726638269648,25.73448365692995,18.89102597537326,6.50875623696125e-7,1.833616689844724,-0.010215881173591,70.21071726376347,89.9955070333904
1.676541652440319,82.70930107767269,85.38428106550116,89.20391283545193,33.8605253956992,38.642584273961646,20.046622988565193,9.599903838327476e-4,20.046623011551148,89.99725622628033,25.823683162601075,18.620261526021526,5.908951145348446e-7,5.690453267217403,-0.009437522877486,70.22872524303375,89.99568260307151
1.681718827450462,83.15180450975467,85.55975761431162,89.39946702262027,33.93756971418661,38.49112006088212,20.180564374813134,9.703491845241032e-4,20.180564398141954,89.99724502685596,25.91896180229473,18.160608069003796,8.288535981828859e-7,9.408626397907492,-0.013679650112331,70.26806925862803,89.99590020782775
1.687804310123143,83.67310620762458,85.76672452774037,89.62898659034222,34.09184907814828,38.29456709499502,20.338625842715604,9.826577562361237e-4,20.338625866454088,89.99723176272924,26.02737407028307,17.441894834731567,4.814775950329943e-7,12.856908788266404,-0.017006023215413,70.33639488331644,89.99620066498166
1.696325750170279,84.40520332707158,86.05841276480929,89.94981638931986,34.37562533307058,38.01551391870663,20.561035546150908,0.001000064478497,20.561035570471887,89.99721320097497,26.170958348407225,16.23255006041053,4.502017080176881e-7,15.513074286835016,-0.054312204138693,70.45917773631477,89.9966140260895
1.706325750170279,85.26751211567985,86.4038806771559,90.32544275606433,34.70752575590767,37.72666738202879,20.823531813798876,0.001020615473012,20.823531838810386,89.99719178477572,26.32593802710287,14.788140101352882,4.432660496698588e-7,-15.062481058744481,-0.038972255477268,70.61518712842121,89.99700180393316
1.716325750170279,86.13329085565117,86.75223982949298,90.69995789775771,34.94099257034328,37.49367573501128,21.087508932950414,0.001041194412994,21.087508958654865,89.99717102453121,26.467550835337132,13.597895363672604,-8.137007422697285e-7,-11.12700689043426,-0.017569460605133,70.74862071387903,89.99706396357593
1.723724260920582,86.77608535780487,87.01104646639595,90.97619060555182,35.00265629522192,37.34951916112458,21.2836956213946,0.001056423396845,21.283695647612564,89.99715610469887,26.565862491558224,13.030757224573469,-1.586366586302918e-6,-6.566081038296794,-0.015864780924918,70.81470659999187,89.99697371304327
1.729591388250027,87.2871926125751,87.2163481426845,91.19466134510563,34.968365465394555,37.245852157615175,21.43978368620054,0.001068509811687,21.439783712826582,89.99714450931862,26.64160044934537,12.824465666277408,-1.674491138298347e-6,-2.410019156982652,-0.01963964703817,70.8411597347949,89.99674181570705
1.735116684241552,87.76962208724157,87.4093056949139,91.39988756400334,34.865506399321745,37.154386035510306,21.587181990755315,0.001079921101927,21.5871820177674,89.9971337193839,26.712407690912915,12.83919254449352,-2.041629861007164e-6,1.587327656044026,-0.020276015331007,70.84340631240839,89.99639833628301
1.740719851206399,88.25993751570259,87.60421178269753,91.60745959820717,34.69371030706627,37.068230075192496,21.73705849314267,0.001091554490114,21.737058520549578,89.99712281837216,26.78486012600097,13.053740691340906,-2.457386031043315e-6,5.416286920090678,-0.01810842094481,70.82360640475736,89.99608745420267
1.746934843757936,88.80506550562805,87.81905651683152,91.83701186358091,34.43273140170933,36.98362596852549,21.903780860656788,0.001104567131708,21.903780888507427,89.99711067987829,26.86726745549409,13.497244088980999,-2.959131552577742e-6,9.04420969553662,-0.022242368529926,70.77825671560952,89.99577471103572
1.754736184003171,89.49121593155317,88.08629006280121,92.12406845957535,34.095348595332545,36.87670527524344,22.113798942938015,0.001121120142154,22.113798971357156,89.99709523214064,26.97497900864014,14.049861071196483,-3.04211769196839e-6,12.338128842712855,-0.036086800687977,70.69404434924868,89.9953826317625
1.764736184003171,90.37377615052299,88.42499003470012,92.49013773977175,33.63277692797073,36.74909587351155,22.384263211481983,0.001142797114579,22.384263240653933,89.99707484446417,27.11912086490152,14.809873856110434,-3.554707985181797e-6,14.82331139061214,-0.111035649251094,70.55646929925373,89.99491650957437
1.774736184003171,91.25969930666398,88.75882000110282,92.85397877775466,33.133450918504266,36.64635353409669,22.65620927863093,0.001165115335377,22.656209308589464,89.99705351453622,27.271473133506102,15.656617054046817,-3.6001604285577e-6,-14.970966617567672,-0.150620125494997,70.40554106629475,89.9946074520693
1.784736184003171,92.14893613577026,89.08779104995992,93.21555422971406,32.673466947013765,36.547620675937,22.929719938304142,0.001188135019041,22.92971996908657,89.99703114027538,27.43182524352772,16.375992633565048,-4.033897479050382e-6,-12.807391755546446,-0.048919448042974,70.26498695082111,89.99469679976873
1.794736184003171,93.04144125856936,89.41265737589951,93.57494186733035,32.32185204630016,36.42075328552073,23.204865495728534,0.001211827368123,23.204865527371158,89.99700784330591,27.597942793879714,16.785980763180067,-5.022121594442868e-6,-8.997302243088475,-0.023322943756521,70.15499074319868,89.99501113499856
1.803976848282629,93.86905036059302,89.71029392195237,93.90525133639174,32.098866576725044,36.273537827299,23.460607026564258,0.001234214665727,23.460607059029016,89.99698578595115,27.75354739466324,16.89474211102659,-5.020237777411594e-6,-4.843657726496334,-0.0105069257938,70.09080447836745,89.9952109421983
1.812487624083123,94.63371528074894,89.98289166800494,94.20809866527021,31.979776183552755,36.1121065140056,23.697422622880072,0.001255193543205,23.697422656122313,89.99696518505091,27.897043950737395,16.77433015439835,-4.669572496170295e-6,-0.895772389159743,-0.016345623391301,70.06655228268913,89.99547133654801
1.821,95.40084171112437,90.25500319331633,94.50983543373671,31.9690451104851,35.911624428077374,23.935496226298813,0.001276444473141,23.935496260334258,89.99694450115707,28.038248737866148,16.359245819629106,-4.210606747438715e-6,2.466310128627408,-0.017037900248921,70.07390754623731,89.99586909113518
1.831,96.30469001638451,90.48468808492999,94.76695878711888,13.991532265118629,16.678110890046238,24.216575759232413,0.001301603229895,24.216575794211984,89.99692044109197,28.165541001948057,9.077246704525734,-4.345352416277035e-6,4.852228666124015,-0.033134900615131,70.11216995898324,89.99625969220273
1.834,96.57619898541961,90.51860642954273,94.80645800104095,8.62201822588783,11.028949475829705,24.30110992892832,0.001309165342697,24.301109964192428,89.99691332416634,28.189472658364643,6.877392547532996,-4.34571042064975e-6,5.142962385658453,-0.060172593766571,70.12721413187575,89.9963147881769
1.8385,96.98359116643933,90.5381770741303,94.83202244552635,0.078583701241354,3.407179975004779,24.428020453383695,0.001320508637625,24.42802048907515,89.99690275469445,28.212603091566002,3.406273621418687,-4.337399166711468e-6,-5.191852906982216,-0.092975174154867,70.15064423715944,89.99634623754056
1.845250000000001,97.59462846924718,90.49551679917585,94.79295304382146,-12.715864535831427,12.834288455466202,24.6184938460749,0.001337511304348,24.618493882408085,89.99688714698817,28.21817474639742,1.73946809815462,-4.270907022732893e-6,-4.420613126165685,-0.022867953632425,70.18362894403718,89.99631616520726
1.847,97.75297446034975,90.47036326107064,94.76769051422357,-16.030973994294616,16.31961058194564,24.667872315163017,0.001341915786238,24.667872351662677,89.9968831478469,28.213977684998234,3.05574251870177,-4.272601276829704e-6,-4.067092122762213,-0.020517005281799,70.19106444939283,89.99627879562021
1.849624999999999,97.99039924331275,90.42292313253942,94.71937254683867,-20.113946858607715,20.654147759318185,24.741921592036867,0.001348520044306,24.741921628786365,89.99687718244664,28.203803073941675,4.692862818456691,-4.281474165400313e-6,-3.431054607867276,-0.015929484217611,70.20093062879063,89.99621006221676
1.853562499999998,98.34626777939293,90.331685289074,94.62533150810633,-26.228794739858024,27.183923532497467,24.852931331683553,0.001358422271475,24.85293136880817,89.99686830250182,28.18048963120961,7.142550322893466,-4.238694764965215e-6,-2.251472988396971,-0.010275331764915,70.2122055872787,89.99612725276364
1.859468749999996,98.8792784696001,90.14967070238808,94.4358510313733,-35.407781016327576,36.99350879043279,25.019226795426373,0.001373269452867,25.019226833114768,89.99685511689277,28.12768800080665,10.714883859735522,-4.073398452003514e-6,-0.047054323743789,-0.014693584330245,70.21921661919617,89.9959379600665
1.860468749999996,98.96941017718142,90.11360918597202,94.39815998013087,-36.21949996018503,37.86426656854951,25.047349027207982,0.00137578304317,25.047349064992,89.99685289801589,28.11672184149992,11.038591640618492,-4.055245069115597e-6,0.363674135557357,-0.014983142250425,70.21905892024041,89.9958942620632
1.861968749999996,99.10453986098403,90.05931366938913,94.34139139147898,-36.17502346023441,37.82868633874154,25.08951168166518,0.001379553828108,25.089511719592753,89.99684957551646,28.100145036615082,11.062422328151344,-4.054589344136142e-6,0.9940054280049,-0.014419274958421,70.21804293604112,89.99582724956201
1.864218749999996,99.30708180165968,89.97798981250011,94.25633723718735,-36.11399296281778,37.77617703564482,25.15270898511002,0.001385211788075,25.152709023253262,89.99684460273622,28.075228559568625,11.082376266393734,-4.053378569265384e-6,1.966273499866728,-0.016584147582609,70.21471821968194,89.99571913033856
1.867593749999996,99.61055199347697,89.85624218040263,94.12897428024033,-36.03529372544945,37.699244768936566,25.247399754299245,0.001393705853703,25.247399792766892,89.99683716089595,28.037823386756948,11.076581705055704,-4.138337224784277e-6,3.450526364706436,-0.016584548445485,70.20558047414329,89.99555730440744
1.872656249999996,100.06498786556267,89.67405471226621,93.93840804869026,-35.94550079634245,37.587852930687,25.389199569313607,0.001406474051149,25.389199608270513,89.99682601151632,27.981930208327714,10.989434036341443,-4.261385736305892e-6,5.65466401174462,-0.020571647498354,70.18249551650302,89.99529923799253
1.880249999999996,100.74491470651981,89.40142520026579,93.65359208465983,-35.86861072834672,37.430482780352975,25.60137287803907,0.00142572448463,25.601372917737923,89.99680923378514,27.89947100790877,10.699710537609493,-4.930250953967614e-6,8.610518309439971,-0.028680873385485,70.12794083265999,89.9949056995332
1.890249999999996,101.63713615258196,89.04290697185436,93.28031619832512,-35.84587886206522,37.243992145450704,25.879841824627153,0.001451346608185,25.879841865323055,89.99678684144456,27.795289314220234,10.108804060646332,-6.059948906543058e-6,11.229205652334562,-0.061156702157317,70.02731464718389,89.99455671677438
1.900249999999996,102.525772655807,88.68437620101004,92.90896546585493,-35.86100547419353,37.07996223146829,26.15730073457313,0.001477358745191,26.15730077629358,89.9967639466436,27.69760426053396,9.429309914674386,-6.072664063053015e-6,-11.907597586431267,-0.358802130580861,69.90995618505676,89.99431290441119
1.910249999999996,103.4108236021688,88.32586572922813,92.539484587756,-35.83389713689934,36.920242068094424,26.433814943983183,0.001503791524824,26.43381498675773,89.99674050424696,27.60611618735772,8.890224426233935,-6.000513725607385e-6,-10.747896815904909,-0.053198949957074,69.79535449394405,89.99439057556484
1.920249999999996,104.29229170843774,87.96791310257075,92.17189912968263,-35.74342504538299,36.74812165366298,26.709438545832022,0.001530614713777,26.70943858968883,89.9967166002792,27.51917973979152,8.534167276161238,-6.772967843228575e-6,-8.251332424789865,-0.025836485341968,69.69953872902305,89.99465450858818
1.930249999999996,105.17018626493777,87.61130161752733,91.80630178425417,-35.56347975928832,36.547868810924015,26.984206546051052,0.001557710922084,26.984206591011855,89.99669250006349,27.434592692150602,8.425296554496002,-7.878612322902926e-6,-5.140218284499103,-0.020948598223644,69.6324280854533,89.99515444745562
1.940249999999996,106.04452526792666,87.25694844554086,91.44281826070552,-35.294095100045745,36.31731903863231,27.25812985699255,0.001584931267278,27.258129903070675,89.99666852154543,27.34984386486777,8.560053342283098,-8.485546077369978e-6,-2.241363466499206,-0.009246395276785,69.59599151132659,89.99562874278732
1.950249999999996,106.91533545749667,86.9056396251887,91.08155618288134,-34.961968182728896,36.068706407305534,27.531195528607686,0.001612131151553,27.531195575808084,89.99664495823279,27.262789256277536,8.86636129910437,-8.198610096026813e-6,-0.2447154525128,-0.002613987413367,69.58450024014718,89.99592761810594
1.960249999999996,107.7826478769133,86.55726767268726,90.72254741756339,-34.70765909500785,35.83764042374889,27.80337940880938,0.001639246618537,27.803379457133172,89.99662192457492,27.17388494438746,8.928318502755115,-8.164791286293427e-6,0.960474177844861,0.011005962242605,69.58842171387671,89.99572094914598
1.970249999999996,108.6464897233108,86.21155864464474,90.36579157002392,-34.43240916826789,35.60264663420736,28.07466988428491,0.001666321525006,28.074669933735667,89.9965993120854,27.084007128524856,9.053046240311515,-8.156920965718131e-6,1.605105368774488,0.01089975317165,69.60177508532247,89.99528992992673
1.980249999999996,109.50688835201775,85.86862587259797,90.0112841523582,-34.155581891649625,35.37005431901,28.345054934045443,0.001693479338843,28.345054984634025,89.99657685550733,26.992783582068174,9.188959036394413,-8.11583238416026e-6,-1.586876311706539,-0.001716307982107,69.61829620104653,89.99477550990451
1.990249999999996,110.36387128254952,85.52839112895838,89.65899187620788,-33.895397682984125,35.14460936808192,28.614521407596577,0.00172083477959,28.6145214593408,89.99655431699918,26.90035566957852,9.286850033645743,-7.974724329540339e-6,-0.945217211796466,-0.007068653520026,69.63140050716689,89.99430822395607
2.000249999999996,111.21746440920056,85.1906176133472,89.30885971418027,-33.66411079729031,34.92868775284248,28.883059856171876,0.001748489816285,28.88305990909592,89.99653149329156,26.80729553878177,9.313477994998953,-7.842510328193685e-6,0.125174292025909,-0.005754506676638,69.63574000142458,89.99406255258573
2.010249999999996,112.06769150205064,84.85519073211492,88.96082670442502,-33.4285421613586,34.71790776979328,29.15066562551304,0.001776500284327,29.150665679644792,89.99650827978417,26.713765997162184,9.373669979156652,-8.037807144282134e-6,1.556516640015909,-0.003397909254725,69.6276385266415,89.99404691817782
2.020249999999996,112.91457532991608,84.5218886603437,88.61482044299281,-33.23942226033787,34.51960648344974,29.41733509398935,0.001804848780602,29.41733514935601,89.99648471837004,26.62023176894444,9.31364802701824,-8.63025654953241e-6,3.188154651834921,1.653821820931916e-4,69.60388111352779,89.99424876442016
2.030249999999996,113.75813483049393,84.19025517198845,88.27075985155025,-33.09344647867596,34.33314754183653,29.68307419110798,0.001833463943837,29.683074247732677,89.99646095464837,26.52787173607275,9.142692179687865,-8.559869735970866e-6,4.625412524731341,0.008507132795228,69.56450192211152,89.99459010955854
2.040249999999996,114.5983847102996,83.85991476376479,87.92857373082595,-32.97816163277827,34.15681349558439,29.947899709133452,0.001862231655735,29.94789976703245,89.99643721211677,26.437639345285675,8.89543498062276,-8.328292923596522e-6,5.548144005471862,0.022203103298968,69.5131303901535,89.99490709692309
2.050249999999995,115.43533665609482,83.53065274426642,87.58821096272874,-32.87255637628352,33.98658684519651,30.21183594024838,0.00189105044936,30.211835999431674,89.99641368337666,26.350042728015673,8.630360518202371,-8.230441434709594e-6,-5.801796091519697,0.198394130560821,69.45580743228552,89.9950464081361
2.060249999999995,116.26900337605308,83.20306734959716,87.24967015236231,-32.64585101228689,33.79547356763819,30.474902931008717,0.001919888102865,30.47490299148422,89.99639042376822,26.2631781266933,8.739705106266362,-8.27120842004844e-6,5.94667057116978,0.040981538088778,69.39743260046305,89.99503503385513
2.070249999999995,117.09940539465363,82.87769028407571,86.91294952327634,-32.4326157673113,33.609818319210724,30.737096226000876,0.001948751179502,30.7370962877769,89.99636741164694,26.175355738029655,8.817330771855122,-8.036516888851884e-6,6.506347532340226,0.021102318953475,69.33544003399659,89.99502749342236
2.080249999999995,117.92656396376623,82.55434130444002,86.57800839156019,-32.24117323775424,33.43143375301501,30.998408252133164,0.001977626202274,30.998408315217134,89.99634466280433,26.087013413556832,8.841239225094576,-7.87723528155559e-6,7.34021851314879,0.004435302291108,69.26633848392457,89.99490189375013
2.090249999999994,118.75049819517406,82.2327815894416,86.24479666509083,-32.0748909622835,33.26093649703399,31.258836701151253,0.002006547341913,31.258836765552758,89.99632210580882,25.998741966988685,8.802912382691982,-7.506731180587529e-6,8.252870985138381,-0.003402754282911,69.18833731630245,89.99472212302513
2.100249999999994,119.57122473696292,81.91276361662143,85.91326187796392,-31.93303861785651,33.09812998564681,31.518385347201004,0.002035551649652,31.518385412932012,89.99629966709722,25.911150557223564,8.704438705468442,-7.399382363893173e-6,9.030380954392536,0.004580828519819,69.10174997665125,89.99470490351139
2.110249999999994,120.3887568660617,81.59378129545514,85.583341323392,-31.863469733189287,32.952316239331516,31.77706675962203,0.002064644645051,31.77706682669489,89.99627733342778,25.82563002107891,8.400859604769147,-7.408717512647619e-6,-9.238730922372907,0.066762374317106,69.00967777026305,89.99486447299677
2.120249999999994,121.2031027322517,81.27552781029023,85.25499709482732,-31.783858459415963,32.8074125508203,32.03490780304817,0.002093792532103,32.03490787147302,89.9962551640282,25.743020584184617,8.130969174184198,-7.586523388162878e-6,-8.623167881800722,0.01672056896697,68.9197783764902,89.99495961572728
2.130249999999994,122.01427045811634,80.95820017175669,84.92824280023228,-31.675897134707615,32.65609087757275,32.29193505976717,0.00212295767318,32.29193512955161,89.99623322311417,25.66274050223362,7.940894919070041,-7.91961945912166e-6,-7.380808809924592,0.013977979667934,68.83934256035616,89.99510430853418
2.140249999999993,122.8222709443631,80.64214438446187,84.60312232351838,-31.528423095021584,32.492805228905524,32.54816728411061,0.002152103983472,32.5481673552598,89.99621156933141,25.5838397423807,7.857539613956761,-8.197297237058983e-6,-5.816389738297704,0.017251242253449,68.77325311278517,89.9951107709038
2.150249999999993,123.62711894908489,80.32776468934429,84.27969458022304,-31.343535225786194,32.31717613039476,32.80361279639856,0.002181236256795,32.80361286891788,89.99619018697035,25.50523747289975,7.8729075056714,-7.8424504708611e-6,-4.275317425830884,0.009357379863833,68.7229669812015,89.99500122640771
2.160249999999993,124.4288307293214,80.01474859909435,83.95796745813533,-31.251442146872403,32.164142164924144,33.05827653799969,0.002210383307247,33.058276611896375,89.99616901884536,25.427943415169057,7.607851532866442,-7.649062884389386e-6,-2.482754158808734,0.004935322075829,68.68865217190006,89.99494742484521
2.170249999999993,125.22741785141204,79.70292392318257,83.63796780675571,-31.103882377640065,31.992747222552165,33.31217821613167,0.002239550407775,33.31217829141324,89.99614805176216,25.352585212148995,7.488950252475379,-7.351035927741424e-6,-0.257382177377616,-0.004125107157556,68.67479693813308,89.99501532923281
2.180249999999993,126.02289508196988,79.39286252994562,83.31978678594506,-30.899813718423164,31.801245856021282,33.56532970099519,0.002268724219496,33.5653297776682,89.9961273038693,25.277663051724193,7.518028342714489,-6.600719485659079e-6,1.906246572851662,-0.002495828607795,68.68329941384984,89.99505603642045
2.190249999999992,126.81528272579475,79.0850790478675,83.00350361517634,-30.65125146965089,31.5951719734288,33.81772833785073,0.002297895278293,33.81772841592107,89.99610678459263,25.201823036977736,7.66522507006578,-6.823846416648109e-6,3.553443863903835,0.004415717076168,68.71118500604949,89.9948833343054
